# Matter power spectrum P(k) at redshift z=0
# for k=2.08411e-07 to 10.7451 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.330327454299e-05       4.016577476738e+02 
       9.399397465999e-05       4.045285012848e+02 
       9.468534031833e-05       4.074012753751e+02 
       9.537737691701e-05       4.102760954471e+02 
       9.607008987073e-05       4.131529869932e+02 
       9.676348460997e-05       4.160319754978e+02 
       9.745756658119e-05       4.189130864391e+02 
       9.815234124689e-05       4.217963452912e+02 
       9.884781408581e-05       4.246817775255e+02 
       9.954399059305e-05       4.275694086124e+02 
       1.002408762802e-04       4.304592640235e+02 
       1.009384766754e-04       4.333513692328e+02 
       1.016367973238e-04       4.362457497186e+02 
       1.023358437871e-04       4.391424309649e+02 
       1.030356216444e-04       4.420414384633e+02 
       1.037361364917e-04       4.449427977144e+02 
       1.044373939425e-04       4.478465342293e+02 
       1.051393996278e-04       4.507526735313e+02 
       1.058421591961e-04       4.536612411571e+02 
       1.065456783138e-04       4.565722626587e+02 
       1.072499626649e-04       4.594857636043e+02 
       1.079550179519e-04       4.624017695805e+02 
       1.086608498952e-04       4.653203061927e+02 
       1.093674642334e-04       4.682413990676e+02 
       1.100748667240e-04       4.711650738537e+02 
       1.107830631428e-04       4.740913562230e+02 
       1.114920592846e-04       4.770202718724e+02 
       1.122018609628e-04       4.799518465249e+02 
       1.129124740102e-04       4.828861059311e+02 
       1.136239042788e-04       4.858230758700e+02 
       1.143361576397e-04       4.887627821509e+02 
       1.150492399838e-04       4.917052506143e+02 
       1.157631572216e-04       4.946505071331e+02 
       1.164779152833e-04       4.975985776140e+02 
       1.171935201193e-04       5.005494879987e+02 
       1.179099777000e-04       5.035032642649e+02 
       1.186272940160e-04       5.064599324279e+02 
       1.193454750786e-04       5.094195185413e+02 
       1.200645269195e-04       5.123820486984e+02 
       1.207844555912e-04       5.153475490334e+02 
       1.215052671670e-04       5.183160457226e+02 
       1.222269677415e-04       5.212875649851e+02 
       1.229495634304e-04       5.242621330846e+02 
       1.236730603707e-04       5.272397763300e+02 
       1.243974647211e-04       5.302205210765e+02 
       1.251227826618e-04       5.332043937272e+02 
       1.258490203952e-04       5.361914207335e+02 
       1.265761841454e-04       5.391816285968e+02 
       1.273042801588e-04       5.421750438690e+02 
       1.280333147042e-04       5.451716931541e+02 
       1.287632940728e-04       5.481716031089e+02 
       1.294942245786e-04       5.511748004442e+02 
       1.302261125584e-04       5.541813119256e+02 
       1.309589643720e-04       5.571911643749e+02 
       1.316927864024e-04       5.602043846709e+02 
       1.324275850558e-04       5.632209997505e+02 
       1.331633667622e-04       5.662410366095e+02 
       1.339001379751e-04       5.692645223041e+02 
       1.346379051717e-04       5.722914839512e+02 
       1.353766748535e-04       5.753219487300e+02 
       1.361164535461e-04       5.783559438829e+02 
       1.368572477995e-04       5.813934967159e+02 
       1.375990641880e-04       5.844346346006e+02 
       1.383419093109e-04       5.874793849741e+02 
       1.390857897923e-04       5.905277753408e+02 
       1.398307122813e-04       5.935798332730e+02 
       1.405766834523e-04       5.966355864117e+02 
       1.413237100050e-04       5.996950624681e+02 
       1.420717986649e-04       6.027582892238e+02 
       1.428209561830e-04       6.058252945327e+02 
       1.435711893365e-04       6.088961063208e+02 
       1.443225049285e-04       6.119707525884e+02 
       1.450749097887e-04       6.150492614099e+02 
       1.458284107729e-04       6.181316609354e+02 
       1.465830147639e-04       6.212179793916e+02 
       1.473387286713e-04       6.243082450824e+02 
       1.480955594315e-04       6.274024863903e+02 
       1.488535140084e-04       6.305007317768e+02 
       1.496125993932e-04       6.336030097836e+02 
       1.503728226047e-04       6.367093490337e+02 
       1.511341906895e-04       6.398197782321e+02 
       1.518967107221e-04       6.429343261664e+02 
       1.526603898053e-04       6.460530217086e+02 
       1.534252350700e-04       6.491758938149e+02 
       1.541912536760e-04       6.523029715277e+02 
       1.549584528116e-04       6.554342839757e+02 
       1.557268396939e-04       6.585698603751e+02 
       1.564964215694e-04       6.617097300307e+02 
       1.572672057138e-04       6.648539223363e+02 
       1.580391994323e-04       6.680024667763e+02 
       1.588124100597e-04       6.711553929259e+02 
       1.595868449608e-04       6.743127304525e+02 
       1.603625115306e-04       6.774745091164e+02 
       1.611394171942e-04       6.806407587716e+02 
       1.619175694074e-04       6.838115093671e+02 
       1.626969756564e-04       6.869867909471e+02 
       1.634776434586e-04       6.901666336527e+02 
       1.642595803622e-04       6.933510677223e+02 
       1.650427939471e-04       6.965401234925e+02 
       1.658272918243e-04       6.997338313993e+02 
       1.666130816368e-04       7.029322219786e+02 
       1.674001710593e-04       7.061353258674e+02 
       1.681885677987e-04       7.093431738047e+02 
       1.689782795944e-04       7.125557966320e+02 
       1.697693142180e-04       7.157732252948e+02 
       1.705616794741e-04       7.189954908430e+02 
       1.713553832002e-04       7.222226244319e+02 
       1.721504332669e-04       7.254546573234e+02 
       1.729468375783e-04       7.286916208864e+02 
       1.737446040720e-04       7.319335465982e+02 
       1.745437407194e-04       7.351804660449e+02 
       1.753442555260e-04       7.384324109226e+02 
       1.761461565313e-04       7.416894130384e+02 
       1.769494518097e-04       7.449515043110e+02 
       1.777541494698e-04       7.482187167717e+02 
       1.785602576555e-04       7.514910825653e+02 
       1.793677845453e-04       7.547686339511e+02 
       1.801767383536e-04       7.580514033037e+02 
       1.809871273299e-04       7.613394231139e+02 
       1.817989597598e-04       7.646327259894e+02 
       1.826122439646e-04       7.679313446563e+02 
       1.834269883020e-04       7.712353119592e+02 
       1.842432011661e-04       7.745446608628e+02 
       1.850608909877e-04       7.778594244522e+02 
       1.858800662344e-04       7.811796359345e+02 
       1.867007354110e-04       7.845053286388e+02 
       1.875229070597e-04       7.878365360180e+02 
       1.883465897601e-04       7.911732916491e+02 
       1.891717921298e-04       7.945156292343e+02 
       1.899985228243e-04       7.978635826021e+02 
       1.908267905376e-04       8.012171857076e+02 
       1.916566040019e-04       8.045764726343e+02 
       1.924879719883e-04       8.079414775942e+02 
       1.933209033069e-04       8.113122349291e+02 
       1.941554068069e-04       8.146887791115e+02 
       1.949914913772e-04       8.180711447453e+02 
       1.958291659460e-04       8.214593665668e+02 
       1.966684394818e-04       8.248534794461e+02 
       1.975093209930e-04       8.282535183869e+02 
       1.983518195286e-04       8.316595185287e+02 
       1.991959441781e-04       8.350715151466e+02 
       2.000417040719e-04       8.384895436530e+02 
       2.008891083817e-04       8.419136395982e+02 
       2.017381663203e-04       8.453438386712e+02 
       2.025888871424e-04       8.487801767008e+02 
       2.034412801443e-04       8.522226896565e+02 
